,Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
1124,4.0,4.0,8.0,4,4
1125,9.0,6.45,26.0,5,5
1126,5.75,4.157913669064748,10.0,5,6
1127,3.9,3.5698529411764706,10.0,4,6
1128,35.5,18.38326530612245,42.0,6,6
1129,0.8492000000000001,9.743124363636364,2.5,1,1
1130,4.25,3.543,7.0,5,6
1131,4.3,2.6766666666666667,8.0,4,5
1132,2.65,2.5766666666666667,8.0,6,6
1133,25.0,36.195757575757575,22.0,5,6
1134,65.0,36.195757575757575,80.0,10,6
1135,29.0,52.91935483870968,26.0,6,6
1136,3.45,3.583207547169811,8.0,5,6
1137,2.4,3.583207547169811,8.0,2,3
1138,4.6,2.9976595744680847,10.0,5,6
1139,0.7,2.9976595744680847,2.5,1,1
1140,0.65,2.9976595744680847,2.7,1,1
1141,0.6,2.9976595744680847,2.5,1,1
1142,10.75,9.743124363636364,20.0,5,6
1143,11.9,9.743124363636364,20.0,5,6
1144,13.5,9.743124363636364,20.0,6,6
1145,2.3,3.5698529411764706,5.0,4,5
1146,16.5,18.38326530612245,20.0,5,5
1147,3.9,2.866153846153846,8.0,5,6
1148,12.0,3.5749999999999997,22.0,7,6
1149,9.45,7.064183673469388,10.0,6,7
1150,13.25,14.354166666666666,12.4,9,6
1151,75.0,84.7,32.0,6,7
1152,5.25,3.5749999999999997,15.0,7,7
1153,1.89,9.743124363636364,5.1,2,2
1154,1.8,1.9485714285714286,3.7,1,1
1155,3.85,2.5811111111111114,8.0,5,5
1156,5.6,4.157913669064748,10.0,5,6
1157,0.75,2.5766666666666667,2.5,1,1
1158,3.15,3.583207547169811,8.0,5,6
1159,3.4,3.583207547169811,8.0,5,6
1160,1.5,9.743124363636364,6.6,3,3
1161,5.8,6.45,10.0,5,5
1162,6.5,9.743124363636364,10.0,5,5
1163,3.3,2.511978787878788,8.0,4,4
1164,0.78,3.5698529411764706,3.6,2,2
1165,2.2,3.5698529411764706,5.0,4,4
1166,2.1,2.511978787878788,5.0,4,4
1167,2.25,2.511978787878788,8.0,2,3
1168,5.8,3.5698529411764706,12.0,6,6
1169,2.1,3.5698529411764706,5.0,4,4
1170,2.8,3.5698529411764706,5.0,4,6
1171,0.85,2.5811111111111114,4.2,2,2
1172,4.0,2.511978787878788,8.0,4,6
1173,1.85,1.85,6.2,2,2
1174,5.0,8.486666666666666,5.0,5,5
1175,3.35,9.743124363636364,8.0,2,2
1176,3.45,3.583207547169811,7.0,5,6
1177,9.5,15.18939393939394,10.9,5,6
1178,2.65,2.6766666666666667,5.0,4,5
1179,16.5,9.743124363636364,20.0,6,7
1180,5.5,6.45,10.0,5,6
1181,4.6,9.743124363636364,6.0,4,5
1182,25.0,10.208433734939758,20.0,9,7
1183,85.0,84.7,40.0,10,6
1184,6.85,4.642857142857143,8.0,4,4
1185,1.75,3.5749999999999997,5.0,5,6
1186,2.2,3.5749999999999997,6.0,4,6
1187,4.5,3.5749999999999997,11.0,5,6
1188,2.2,3.5698529411764706,5.0,4,4
1189,2.5,3.5698529411764706,5.0,4,4
1190,0.52,2.511978787878788,1.8,1,1
1191,2.2,3.5698529411764706,5.0,4,4
1192,2.65,3.5698529411764706,8.0,4,6
1193,5.5,3.5698529411764706,12.4,5,6
1194,2.6,3.5698529411764706,5.0,6,6
1195,5.7,8.066666666666666,6.6,4,4
1196,34.0,18.38326530612245,40.0,6,6
1197,2.6,15.18939393939394,7.6,2,2
1198,2.7,3.5749999999999997,8.0,4,6
1199,4.5,8.486666666666666,4.0,4,5
1200,26.0,45.5,400.0,1,1
1201,3.4,2.866153846153846,8.0,6,6
1202,10.8,7.064183673469388,14.0,5,7
1203,8.0,9.743124363636364,20.0,6,6
1204,10.0,9.743124363636364,20.0,5,6
1205,12.0,9.743124363636364,20.0,5,6
1206,5.5,4.157913669064748,10.0,6,7
1207,1.4,3.5749999999999997,5.0,3,4
1208,1.0,3.5749999999999997,4.0,3,3
1209,15.0,55.45526315789474,10.0,3,4
1210,25.75,36.195757575757575,20.0,4,6
1211,4.5,3.583207547169811,10.0,4,5
1212,2.5,3.583207547169811,5.0,4,5
1213,1.48,1.2494833333333333,4.4,2,2
1214,1.64,1.2494833333333333,4.9,2,2
1215,11.5,10.208433734939758,10.0,6,6
1216,27.25,36.195757575757575,26.0,5,5
1217,10.5,9.743124363636364,20.0,5,6
1218,9.9,9.743124363636364,20.0,5,6
1219,0.45,4.157913669064748,2.0,1,1
1220,3.9,9.743124363636364,5.0,4,5
1221,2.5,2.511978787878788,5.0,4,4
